Label,Text,Gendered Terms,Source
Sociology Humanities,"When filling out a form, you are often asked to provide your name, address, birth date, and sex or gender. But have you ever been asked for both sex and gender? Sociologists distinguish these concepts. Sex refers to physical or physiological differences between males and females including reproductive anatomy and secondary characteristics like height or muscularity. Gender, by contrast, refers to behaviors, traits, and social roles that society attributes to being female or male. A person's sex, as determined by his or her biology, does not always correspond to that person's gender. For example, a baby boy born with male genitalia will be identified as male, but as he grows, however, he may identify with feminine aspects of culture. Characteristics of sex do not vary significantly across human societies (for instance, females generally menstruate and can lactate), whereas characteristics of gender may vary greatly between societies. In U.S. culture, wearing a dress is considered feminine but in many other cultures, garments like sarongs or robes are worn by men and are considered masculine. Even in Scotland, a male wearing a kilt (a skirt-like garment) does not appear feminine in his culture.",8,https://openstax.org/books/introduction-sociology-2e/pages/12-1-sex-and-gender
Sociology Humanities,"In 1971, sociologist Frances Heussenstamm had a theory about police prejudice. To test her idea, she conducted an experiment. She chose 15 student volunteers-Black, White, and Hispanic-each with a perfect driving record. She placed a Black Panther bumper sticker on each of their cars as a provocative stimulus, then asked the students to drive as they normally would. She wanted to see whether seeming support for the Black Panthers would change how these good drivers were treated by highway police. The dependent variable was the number of traffic stops or citations the students received. The results were striking: one student was pulled over three times in three days (and quit the study), and after 17 days the 15 drivers had collected a total of 33 traffic citations. Heussenstamm halted the research once her funding for fines ran out-and once her participants' enthusiasm did too.",4,https://openstax.org/books/introduction-sociology-3e/pages/2-2-research-methods
Anthropology - Humanities,"Michelle Brown spends long days observing blue monkeys, red-tailed monkeys, and baboons in a conservation park in Uganda. She records the behavior of these primates as they find food, communicate, and fight with one another. She collects urine and feces to analyze hormone levels, intestinal parasites, and DNA. She wants to understand how primates compete as individuals and groups for access to various foods in their environment.",3,https://openstax.org/books/introduction-anthropology/pages/1-introduction
Education - Humanities,"JT is reapplying to college after taking time off to work and save money for tuition. He finds his current job unfulfilling and knows college could help him pursue a career he enjoys with a better salary. However, his family and friends in their small community don't understand why he wants to go to college; they fear he will change and drift away from them. When JT asks a close friend for help with his college application, his friend refuses, saying he doesn't support the decision and worries they won't hang out like before. Undeterred, JT then asks his family if he could move back home while attending school so he can save the money he earns for his expenses. They, too, refuse to help him, believing he would be burdening them.",11,https://openstax.org/books/preparing-for-college-success/pages/1-family-friends-matter
Anthropology - Humanities,"In 2020, archaeologist Randy Haas and his team discovered a 9,000-year-old burial of a teenager in the Andes Mountains of Peru. Haas found that this ancient hunter was a young woman. This discovery upset the notion that hunting was an activity done exclusively by men throughout human evolutionary history.",2,https://openstax.org/books/introduction-anthropology/pages/1-introduction
Sociology Humanities,"Sascha Buchanan (2019) used participant observation to study the fan bases of two pop superstars: Beyoncé and Rihanna. She observed several music award shows (the MTV EMAS, BET Awards, etc.) that pit one fandom against another for titles like ""Best Fan Army"" or ""Biggest Fans."" Buchanan argues that media coverage of these contests sustains a myth of rivalry between the two most commercially successful Black women vocal artists.",2,https://openstax.org/books/introduction-sociology-3e/pages/2-2-research-methods
Sociology - Humanities,"During the U.S. civil rights movement, Rosa Parks violated social norms in 1955 when she refused to move to the ""Black section"" of a segregated bus. Her act of defiance-along with other challenges to segregation, like the Black students known as the ""Little Rock Nine"" attending an all-white school helped spark wider social change and mass protest (the Montgomery Bus Boycott). In this way, deviant behavior (breaking an unjust custom or law) can sometimes foster social change by pushing society to reexamine its norms.",1,https://openstax.org/books/introduction-sociology-3e/pages/7-1-deviance-and-control
Psychology - STEM,"Sigmund Freud presented the first comprehensive theory of personality. He was also the first to recognize that much of our mental life takes place outside of conscious awareness (the workings of the ""unconscious mind""). Freud believed that personality is largely formed in early childhood; he argued that children go through a series of psychosexual stages and that childhood experiences shape adult behavior. Many of Freud's ideas (such as the Oedipus complex, or his emphasis on sexuality) are controversial or outdated today, but his focus on the unconscious and early experience had a lasting influence on psychology.",5,https://openstax.org/books/psychology-2e/pages/9-2-lifespan-theories
History Humanities,"Adam Smith, an 18th-century economist, argued that countries should specialize in producing whatever they make best, given their natural advantages. He contended that free trade could be mutually beneficial for all nations, not a zero-sum game. In his 1776 work The Wealth of Nations, Smith introduced the concept of the ""invisible hand"" - the idea that individuals pursuing their own self-interest in a free market inadvertently benefit society as a whole. He believed that when producers and consumers freely make choices, prices and resources will adjust as if guided by an invisible hand to efficiently allocate goods and services. Smith's advocacy of free markets and minimal government interference laid the foundations for classical liberal economics.",4,https://openstax.org/books/introduction-political-science/pages/16-2-the-advent-of-the-liberal-economy
History - Humanities,"Henry Ford's innovations in assembly-line production dramatically improved efficiency in the automobile industry. In 1913, he introduced the moving assembly line in his factory, which allowed Model T cars to be put together much faster and with interchangeable parts. By breaking the production process into simple repetitive tasks performed by workers stationed along the line, Ford was able to produce cars in unprecedented volumes. His advances in efficiency drove down costs so much that the Model T became truly affordable car ownership became a possibility for ordinary Americans. Ford's $5-a-day wage (generous for the time) also helped him retain workers despite the work's tedium. However, he strongly opposed labor unions, and the monotonous work led to high employee turnover despite the higher pay.",5,https://openstax.org/books/entrepreneurship/pages/4-2-creativity-innovation-and-invention-how-they-differ
Physics/History - STEM,"In 1898, Marie Curie (1867-1934), then a graduate student in Paris, began investigating the mysterious ""Becquerel's rays"" that had been observed emanating from uranium. Working with her husband Pierre, she soon discovered two new radioactive elements, which she named polonium (after her native Poland) and radium (for its intense ""radiance""). These elements filled gaps in the periodic table and proved to be far more radioactive (per gram) than uranium. Over four arduous years, the Curies processed tons of uranium ore to isolate just a fraction of a gram of radium salt - which literally glowed from its radioactivity. In 1903 Marie and Pierre Curie (along with Becquerel) shared the Nobel Prize in Physics for their work on radioactivity. After Pierre's death in 1906, Marie continued her research for decades. Awarded the 1911 Nobel Prize in Chemistry for discovering polonium and radium, she remains the only person to win Nobel Prizes in both physics and chemistry.",8,https://openstax.org/books/college-physics-2e/pages/31-1-nuclear-radioactivity
History Humanities,"Jeanne d'Arc (Joan of Arc) was born around 1412 to a peasant family in Domrémy, in the Lorraine region of France. She never learned to read or write, as there were no village schools; her mother taught her prayers, the Catholic creed, and household skills like sewing. Like other peasant girls, young Jeanne helped with ploughing and field work and took care of the cattle. She played with the other children, dancing and weaving flower garlands - but she also loved to pray in the village church, sometimes earning laughs from her playmates for her piety. She was known for her kindness: she nursed the sick and would even sleep on the hearth so she could give up her own bed to a poor traveler in need.",10,https://www.gutenberg.org/files/49766/49766-h
Chemistry/Microbiology STEM,"In the late summer of 1928, Scottish bacteriologist Alexander Fleming went on vacation, accidentally leaving a Petri dish of Staphylococcus bacteria uncovered in his lab. While he was away, a cool spell slowed the bacteria's growth, and spores of a mold (Penicillium notatum) from a downstairs lab drifted into his dish. When temperatures rose again, both the bacteria and mold grew. On returning, Fleming nearly discarded the culture, but he happened to notice something striking: the Penicillium mold colony was surrounded by a clear zone where the staph bacteria had been dissolved. Fleming realized the mold must be producing a chemical that killed the bacteria. He spent years trying to isolate this ""mold juice."" It was not until 1939 that scientists Howard Florey and Ernst Chain purified the active substance penicillin. By the early 1940s, penicillin's dramatic ability to cure infections was demonstrated in mice and humans. Mass production of penicillin during World War II saved countless lives. Fleming, Florey, and Chain jointly received the 1945 Nobel Prize in Medicine for this ""accidental"" discovery that ushered in the antibiotic era.",7,https://openstax.org/books/organic-chemistry/pages/21-chemistry-matters-b-lactam-antibiotics
Political Economy - Humanities,"In 1848, German philosopher Karl Marx argued that all of history was driven by class conflict. He believed capitalist society created a deep divide between two main classes: the bourgeoisie (owners of the means of production) and the proletariat (workers). Marx maintained that the bourgeoisie exploited workers for profit, paying subsistence wages while accumulating wealth. He predicted that this inequality and exploitation would eventually lead workers to develop class consciousness and overthrow the capitalist system in a revolution. In Marx's view, such a proletarian revolution was inevitable to establish a classless, communist society. While Marx's revolutionary predictions did not unfold exactly as envisioned, his theories profoundly influenced social and political movements around the world and laid the foundation for modern conflict theory in sociology.",5,https://study.com/academy/lesson/karl-marxs-theory-of-class-conflict.html
Management/Business - Humanities,"The Industrial Revolution transformed how goods were produced. Factories began using machines and division of labor to boost output. Adam Smith had proposed the idea of dividing labor into specialized tasks in 1776, noting that a pin factory where each worker performed only one step could vastly increase total production. Over a century later, industrialists put such theories into practice. For example, Henry Ford famously implemented the moving assembly line in 1913, breaking automobile production into dozens of small tasks performed by different workers. This innovation allowed him to crank out Model T cars in large volumes at low cost. His factory workers endured monotonous, repetitive labor, but Ford's high wages ($5 per day) and shorter hours helped reduce turnover. The result was a revolution in productivity: by specializing and streamlining tasks, manufacturers could produce standardized products far more efficiently than ever before, making automobiles and other goods affordable to the masses.",7,https://openstax.org/books/entrepreneurship/pages/4-2-creativity-innovation-and-invention-how-they-differ
